artist,title,Artist,n,URI,spotifyID
Vampire+Weekend,Cousins,Vampire Weekend,385,https://api.spotify.com/v1/search?q=%2520track%3ACousins%2520artist%3AVampire+Weekend%2520&type=track,0vxGpG3QTbioUTAToBAuBl
CHVRCHES,Recover,CHVRCHES,384,https://api.spotify.com/v1/search?q=%2520track%3ARecover%2520artist%3ACHVRCHES%2520&type=track,6EwcfJwogWBbVC1ceLiTlj
Kendrick+Lamar,i,Kendrick Lamar,384,https://api.spotify.com/v1/search?q=%2520track%3Ai%2520artist%3AKendrick+Lamar%2520&type=track,4Pwjz3DfvfQWV0rO2V8jyh
Polica,Lime+Habit,Polica,383,https://api.spotify.com/v1/search?q=%2520track%3ALime+Habit%2520artist%3APolica%2520&type=track,23InWEEYkVJWRCFEWhuZpg
Alabama+Shakes,I+Ain+t+The+Same,Alabama Shakes,382,https://api.spotify.com/v1/search?q=%2520track%3AI+Ain+t+The+Same%2520artist%3AAlabama+Shakes%2520&type=track,3KovbvpV7cqIw4gg2CihPu
Arcade+Fire,Reflektor,Arcade Fire,382,https://api.spotify.com/v1/search?q=%2520track%3AReflektor%2520artist%3AArcade+Fire%2520&type=track,7uMZy0bALAdneerERyr7Ks
Arctic+Monkeys,Do+I+Wanna+Know+,Arctic Monkeys,382,https://api.spotify.com/v1/search?q=%2520track%3ADo+I+Wanna+Know+%2520artist%3AArctic+Monkeys%2520&type=track,5FVd6KXrgO9B3JPmC8OPst
Bad+Bad+Hats,Midway,Bad Bad Hats,381,https://api.spotify.com/v1/search?q=%2520track%3AMidway%2520artist%3ABad+Bad+Hats%2520&type=track,4RFQqoOFw0pdropkjrPnh3
Bully,Trying,Bully,381,https://api.spotify.com/v1/search?q=%2520track%3ATrying%2520artist%3ABully%2520&type=track,4960lzMaVLrbelhngBpL4X
The+Arcs,Outta+My+Mind,The Arcs,381,https://api.spotify.com/v1/search?q=%2520track%3AOutta+My+Mind%2520artist%3AThe+Arcs%2520&type=track,4cgDk0IjwdG8w1ArIaqdpq
Raphael+Saadiq,Stone+Rolling,Raphael Saadiq,380,https://api.spotify.com/v1/search?q=%2520track%3AStone+Rolling%2520artist%3ARaphael+Saadiq%2520&type=track,34vq540jPfrXKt2aogxib9
Angel+Olsen,Shut+Up+Kiss+Me,Angel Olsen,379,https://api.spotify.com/v1/search?q=%2520track%3AShut+Up+Kiss+Me%2520artist%3AAngel+Olsen%2520&type=track,2NE61HPxiQyPbNhggQqrzG
BORNS,Electric+Love,BORNS,378,https://api.spotify.com/v1/search?q=%2520track%3AElectric+Love%2520artist%3ABORNS%2520&type=track,2GiJYvgVaD2HtM8GqD9EgQ
Houndmouth,Sedona,Houndmouth,378,https://api.spotify.com/v1/search?q=%2520track%3ASedona%2520artist%3AHoundmouth%2520&type=track,2MQhTbX792AT6YyzwLz9dt
The+Rural+Alberta+Advantage,Don+t+Haunt+This+Place,The Rural Alberta Advantage,378,https://api.spotify.com/v1/search?q=%2520track%3ADon+t+Haunt+This+Place%2520artist%3AThe+Rural+Alberta+Advantage%2520&type=track,4nVfmii8T3OKMm8zRBPCiO
Vampire+Weekend,Horchata,Vampire Weekend,378,https://api.spotify.com/v1/search?q=%2520track%3AHorchata%2520artist%3AVampire+Weekend%2520&type=track,76BIj06DoRIuJLtchonDcd
Atlas+Genius,Trojans,Atlas Genius,376,https://api.spotify.com/v1/search?q=%2520track%3ATrojans%2520artist%3AAtlas+Genius%2520&type=track,0wDEiGfq4pw7FAkYKpkwMo
Frank+Ocean,Thinkin+Bout+You,Frank Ocean,376,https://api.spotify.com/v1/search?q=%2520track%3AThinkin+Bout+You%2520artist%3AFrank+Ocean%2520&type=track,7DfFc7a6Rwfi3YQMRbDMau
Jeremy+Messersmith,Tourniquet,Jeremy Messersmith,376,https://api.spotify.com/v1/search?q=%2520track%3ATourniquet%2520artist%3AJeremy+Messersmith%2520&type=track,2Bq7H53ARxqWesp8arNVlX
Low,Try+To+Sleep,Low,376,https://api.spotify.com/v1/search?q=%2520track%3ATry+To+Sleep%2520artist%3ALow%2520&type=track,2ez01ZsOmyG4m31vxJuQDx
Wolf+Alice,Giant+Peach,Wolf Alice,376,https://api.spotify.com/v1/search?q=%2520track%3AGiant+Peach%2520artist%3AWolf+Alice%2520&type=track,3K94Fd5ZQkPCW8wV6oyk22
Jack+White,Love+Interruption,Jack White,375,https://api.spotify.com/v1/search?q=%2520track%3ALove+Interruption%2520artist%3AJack+White%2520&type=track,5Vi4wnQLLs4zZSpnngTbEE
