artist,title,Artist,n,URI,spotifyID,tempo
GRiZ,Can+t+Get+Enough,GRiZ,184,https://api.spotify.com/v1/audio-features/6qcTBJCVLQwATrFFBapcyf,6qcTBJCVLQwATrFFBapcyf,168.076
Phantogram,Into+Happiness,Phantogram,184,https://api.spotify.com/v1/audio-features/7126kIzOFbWsvWcz6s4ITQ,7126kIzOFbWsvWcz6s4ITQ,143.396
Big+Thief,UFOF,Big Thief,183,https://api.spotify.com/v1/audio-features/3Hbwbuk3ChdUf7M6Cn7uQB,3Hbwbuk3ChdUf7M6Cn7uQB,147.168
Andrew+Bird,Bloodless,Andrew Bird,182,https://api.spotify.com/v1/audio-features/6TAxmlqn13KElYfvNBmSPB,6TAxmlqn13KElYfvNBmSPB,116.015
Courtney+Barnett,Everybody+Here+Hates+You,Courtney Barnett,182,https://api.spotify.com/v1/audio-features/0qnwZNpfLciad2YhoSWhlc,0qnwZNpfLciad2YhoSWhlc,174.652
Mumford+And+Sons,Beloved,Mumford And Sons,182,https://api.spotify.com/v1/audio-features/1l1TLPILxVipEsTsSho4u3,1l1TLPILxVipEsTsSho4u3,191.978
Hozier,Movement,Hozier,180,https://api.spotify.com/v1/audio-features/4LmOmWpjCQbC1VZvUuwPQu,4LmOmWpjCQbC1VZvUuwPQu,177.98
DJ+Shadow,Rocket+Fuel+feat++De+La+Soul,DJ Shadow,179,https://api.spotify.com/v1/audio-features/5YRIDSxRVa1ErAVmjJARcR,5YRIDSxRVa1ErAVmjJARcR,110
Yola,Ride+Out+In+The+Country,Yola,179,https://api.spotify.com/v1/audio-features/4FCIOhpTSqt1hjYDdLFScX,4FCIOhpTSqt1hjYDdLFScX,142.744
Billie+Eilish,Bad+Guy,Billie Eilish,178,https://api.spotify.com/v1/audio-features/2Fxmhks0bxGSBdJ92vM42m,2Fxmhks0bxGSBdJ92vM42m,135.128
My+Brightest+Diamond,Champagne,My Brightest Diamond,178,https://api.spotify.com/v1/audio-features/4jby31PQwY0BWwICuwWnfb,4jby31PQwY0BWwICuwWnfb,124.002
Cage+The+Elephant,Social+Cues,Cage The Elephant,177,https://api.spotify.com/v1/audio-features/0wSmZykDgah7GfaUNZUZCb,0wSmZykDgah7GfaUNZUZCb,141.929
J+S++Ondara,Lebanon,J.S. Ondara,177,https://api.spotify.com/v1/audio-features/2FYMVOK6wtkysaKuNWUfk9,2FYMVOK6wtkysaKuNWUfk9,109.24
Devon+Gilfillian,Get+Out+And+Get+It,Devon Gilfillian,176,https://api.spotify.com/v1/audio-features/5N4Az3OsBGqfIAiblzScmZ,5N4Az3OsBGqfIAiblzScmZ,187.266
Sleater+Kinney,Can+I+Go+On,Sleater-Kinney,176,https://api.spotify.com/v1/audio-features/33kTpZiXOEs9yQrSzn0cV5,33kTpZiXOEs9yQrSzn0cV5,202.421
The+Raconteurs,Sunday+Driver,The Raconteurs,176,https://api.spotify.com/v1/audio-features/0qVSoMLshegqzDE2FZlIsc,0qVSoMLshegqzDE2FZlIsc,122.419
Velvet+Negroni,KURT+KOBAIN,Velvet Negroni,176,https://api.spotify.com/v1/audio-features/3VP8sppdD9CCpzUc2nAxin,3VP8sppdD9CCpzUc2nAxin,144.011
