artist,title,Artist,n,"str_replace_all(artist, ""[[:punct:]]"", "" "")",URI,spotifyID,tempo
Arcade%2520Fire,Reflektor,Arcade Fire,382,Arcade Fire,https://api.spotify.com/v1/audio-features/5e5XSjfqBk4mgRnQR1vu8Z,5e5XSjfqBk4mgRnQR1vu8Z,142.515
Arctic%2520Monkeys,Do%2520I%2520Wanna%2520Know%2520,Arctic Monkeys,382,Arctic Monkeys,https://api.spotify.com/v1/audio-features/2VXM97guXNYyiDgPkoQdZa,2VXM97guXNYyiDgPkoQdZa,141.979
Bad%2520Bad%2520Hats,Midway,Bad Bad Hats,381,Bad Bad Hats,https://api.spotify.com/v1/audio-features/5GDjtfw6yBjAuTGQrrQ6XD,5GDjtfw6yBjAuTGQrrQ6XD,117.954
Bully,Trying,Bully,381,Bully,https://api.spotify.com/v1/audio-features/2wquTDZEJ9EirmTbAb9jyv,2wquTDZEJ9EirmTbAb9jyv,169.949
Raphael%2520Saadiq,Stone%2520Rolling,Raphael Saadiq,380,Raphael Saadiq,https://api.spotify.com/v1/audio-features/34vq540jPfrXKt2aogxib9,34vq540jPfrXKt2aogxib9,99.987
Angel%2520Olsen,Shut%2520Up%2520Kiss%2520Me,Angel Olsen,379,Angel Olsen,https://api.spotify.com/v1/audio-features/5oMAgpoBkDMkFIxPwYvuD9,5oMAgpoBkDMkFIxPwYvuD9,130.013
BORNS,Electric%2520Love,BORNS,378,BORNS,https://api.spotify.com/v1/audio-features/2GiJYvgVaD2HtM8GqD9EgQ,2GiJYvgVaD2HtM8GqD9EgQ,120.041
Houndmouth,Sedona,Houndmouth,378,Houndmouth,https://api.spotify.com/v1/audio-features/6msnCs10Y3i4Z7Mh5YlmYl,6msnCs10Y3i4Z7Mh5YlmYl,141.897
Vampire%2520Weekend,Horchata,Vampire Weekend,378,Vampire Weekend,https://api.spotify.com/v1/audio-features/6ZM6yMLsYx0nkBksOsfvqb,6ZM6yMLsYx0nkBksOsfvqb,120.014
Atlas%2520Genius,Trojans,Atlas Genius,376,Atlas Genius,https://api.spotify.com/v1/audio-features/4AyoAGuhE8gydBPrczuhbl,4AyoAGuhE8gydBPrczuhbl,NA
Frank%2520Ocean,Thinkin%2520Bout%2520You,Frank Ocean,376,Frank Ocean,https://api.spotify.com/v1/audio-features/7DfFc7a6Rwfi3YQMRbDMau,7DfFc7a6Rwfi3YQMRbDMau,NA
Jeremy%2520Messersmith,Tourniquet,Jeremy Messersmith,376,Jeremy Messersmith,https://api.spotify.com/v1/audio-features/2xDO6IqHG5k7NpCPgUTEhr,2xDO6IqHG5k7NpCPgUTEhr,NA
Low,Try%2520To%2520Sleep,Low,376,Low,https://api.spotify.com/v1/audio-features/4g2WiijzSKzH8PApKDbadN,4g2WiijzSKzH8PApKDbadN,NA
Wolf%2520Alice,Giant%2520Peach,Wolf Alice,376,Wolf Alice,https://api.spotify.com/v1/audio-features/6ubSpevM3YExR5DJqCtoUY,6ubSpevM3YExR5DJqCtoUY,NA
Jack%2520White,Love%2520Interruption,Jack White,375,Jack White,https://api.spotify.com/v1/audio-features/3s3ciLHOXE1xVqGkdxwHPs,3s3ciLHOXE1xVqGkdxwHPs,NA
Feist,How%2520Come%2520You%2520Never%2520Go%2520There,Feist,374,Feist,https://api.spotify.com/v1/audio-features/2CzWeyC9zlDpIOZPUUKrBW,2CzWeyC9zlDpIOZPUUKrBW,NA
Feist,The%2520Bad%2520In%2520Each%2520Other,Feist,374,Feist,https://api.spotify.com/v1/audio-features/61etm6bMP3BnD3SiwreMZu,61etm6bMP3BnD3SiwreMZu,NA
